SliderName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
Character/BangRight_Position,Hair Bang << Position,Hair Bang << Position,头发 刘海 << 位置,頭髮 瀏海 << 位置,Pony << Position,Flequillo de pelo << Posición,Frange Côté << Position,Hair Bang << Pozíció,前髪 << 位置,앞머리 << 위치,Челка << Позиция,Franja << Posição,Чубчик для волосся << Положення,Frangia dei capelli <<Posizione,ผมหน้าม้า << ตำแหน่ง,Kahkül << Konumu,Hair Bang << Position,Hair Bang << Pozícia
Character/BangRight_Length,Hair Bang << Length,Hair Bang << Length,头发 刘海 << 长度,頭髮 瀏海 << 長度,Pony << Länge,Flequillo de pelo << Longitud,Frange Côté << Longueur,Hair Bang << Hossz,前髪 << 長さ,앞머리 << 길이,Челка << Длина,Franja << Comprimento,Чубчик для волосся << Довжина,Frangia Capelli << Lunghezza,ผมหน้าม้า << ความยาว,Kahkül << Uzunluk,Hair Bang << Längd,Hair Bang << Dĺžka
Character/BangRight_Shear,Hair Bang << Shear,Hair Bang << Shear,头发 刘海 << 剪切,頭髮 瀏海 << 傾斜,Pony << Neigung,Flequillo de pelo << Cizalla,Frange Côté << Angle,Hair Bang << Shear,前髪 << 傾き,앞머리 << 기울기,Челка << Наклон,Franja << Deslocamento,Чубчик << Стрижка,Frangia Capelli << Taglio,ผมหน้าม้า << มุม,Kahkül << Kayma,Hair Bang << Shear,Hair Bang << Strihanie
Character/FrameHairRight_Length,Hair Framing << Length,Hair Framing << Length,头发 脸颊 << 长度,頭髮 臉頰 << 長度,Seitensträhnen << Länge,Encuadre del cabello << Longitud,Mèche Visage Côté << Longueur,Hajkeretezés << Hossz,顔まわり髪 << 長さ,옆머리 << 길이,Пряди волос << Длина,Mecha do Rosto << Comprimento,Обрамлення волосся << Довжина,Inquadratura dei capelli << Lunghezza,ผมด้านข้าง << ความยาว,Saçın Yanı << Uzunluk,Hårinramning << Längd,Orámovanie vlasov << Dĺžka
Character/FrameHairLeft_Length,Hair Framing >> Length,Hair Framing >> Length,头发 脸颊 >> 长度,頭髮 臉頰 >> 長度,Seitensträhnen >> Länge,Encuadre del cabello >> Longitud,Mèche Visage Côté >> Longueur,Hajkeretezés >> Hossz,顔まわり髪 >> 長さ,옆머리 >> 길이,Пряди волос >> Длина,Mecha do Rosto >> Comprimento,Оформлення волосся >> Довжина,Inquadratura dei capelli >> Lunghezza,ผมด้านข้าง >> ความยาว,Saçın Yanı >> Uzunluk,Hårinramning >> Längd,Orámovanie vlasov >> Dĺžka
Character/SideHair_Length,Hair Side Length,Hair Side Length,头发 侧面 长度,頭髮 側面 長度,Haar Seiten Länge,Longitud del lado del cabello,Cheveux Côtés Longueur,Haj oldalhossz,横髪 長さ,옆머리(전체) 길이,Боковые волосы - Длина,Comprimento do Cabelo Lateral,Довжина волосся збоку,Lunghezza laterale dei capelli,ความยาวผมด้านหลัง 1,Saç Yanı'nın Uzunluğu,Hårets sidolängd,Dĺžka vlasov po stranách
Character/BackHair_Length,Hair Rear Length,Hair Rear Length,头发 后侧 长度,頭髮 後側 長度,Haar Länge Hinten,Longitud del pelo trasero,Cheveux Arrières Longueur,Haj hátsó hossz,後ろ髪 長さ,뒷머리 길이,Задние волосы - Длина,Comprimento do Cabelo de Trás,Довжина волосся ззаду,Lunghezza posteriore dei capelli,ความยาวผมด้านหลัง 2,Saç Arkası'nın Uzunluğu,Hår baklängd,Zadná dĺžka vlasov
Character/Ahoge_Position,Ahoge Position,Ahoge Position,呆毛 位置,呆毛 位置,Ahoge Position,Posición Ahoge,Ahoge Position,Ahoge pozíció,アホ毛 位置,바보털 위치,Ахоге - Положение,Posição do Ahoge,Висока позиція,Posizione Ahoge,ตำแหน่ง Ahoge,Ahoge Konumu,Ahoge Position,Pozícia Ahoge
Character/Ahoge_Angle,Ahoge Angle,Ahoge Angle,呆毛 角度,呆毛 角度,Ahoge Winkel,Ángulo de Ahoge,Ahoge Angle,Ahoge Angle,アホ毛 角度,바보털 각도,Ахоге - Угол,Ângulo do Ahoge,Ahoge Angle,Angolo Ahoge,มุม Ahoge,Ahoge Açısı,Ahoge Angle,Ahoge Angle
Character/AnimalEarAntenna_Position,Animal Ear & Antenna Position,Animal Ear & Antenna Position,动物耳朵 & 触角 位置,動物耳朵 & 觸角 位置,Tierohr- & Antennenposition,Posición de antena y oreja de animal,Oreilles & Antennes d'Animaux Position,Állati fül és antenna helyzete,ケモ耳／アンテナ 位置,동물 귀 & 안테나 위치 위치,Звериные уши & Антенна - Положение,Orelhas de Animal & Posição da Antena,Положення вуха та антени тварини,Posizione dell'orecchio e dell'antenna dell'animale,ตำแหน่งหูสัตว์และหนวดแมลง,Hayvan Kulağı ve Anten Konumu,Djurets öra och antennposition,Pozícia zvieracieho ucha a antény
Character/FinGill_Position,Fin & Gill Position,Fin & Gill Position,鳍 & 鳃 位置,鰭 & 鰓 位置,Flossen- & Kiemenposition,Posición de aletas y branquias,Nageoires & Branchies Position,Uszony és kopoltyú pozíció,ヒレ／エラ 位置,지느러미 & 아가미 위치,Плавники & Жабры - Положение,Posição da Barbatana & Brânquia,Положення плавників і зябер,Posizione delle pinne e delle branchie,ตำแหน่งครีบและเหงือก,Yüzgeç ve Solungaç Konumu,Fin & Gill Position,Poloha plutiev a žiabrov
Character/Halo_Position,Halo Position,Halo Position,光环 位置,光環 位置,Heiligenschein Position,Posición del halo,Halo Position,Halo pozíció,天使の輪 位置,헤일로 위치,Нимб - Положение,Posição da Auréola,Положення Halo,Posizione dell'alone,ตำแหน่ง Halo,Hale Konumu,Halo Position,Halo pozícia
Character/Hat_Position,Hat Position,Hat Position,帽子 位置,帽子 位置,Hut Position,Posición del sombrero,Chapeau Position,Kalap pozíció,帽子 位置,모자 위치,Шляпа - Положение,Posição do Chapéu,Положення капелюха,Posizione del cappello,ตำแหน่งหมวก,Şapka Konumu,Hattposition,Poloha klobúka
Character/HornLeft_Length,Horn >> Length,Horn >> Length,角 >> 长度,角 >> 長度,Horn >> Länge,Cuerno >> Longitud,Corne >> Longueur,Kürt >> Hossz,角 >> 長さ,뿔 >> 길이,Рог >> Длина,Chifre >> Tamanho,Ріг >> Довж,Corno >> Lunghezza,เขา >> ความยาว,Boynuz >> Uzunluk,Horn >> Längd,Klaksón >> Dĺžka
Character/HornRight_Length,Horn << Length,Horn << Length,角 << 长度,角 << 長度,Horn << Länge,Cuerno << Longitud,Corne << Longueur,Kürt << Hossz,角 << 長さ,뿔 << 길이,Рог << Длина,Chifre << Tamanho,Ріг << Довж,Corno <<Lunghezza,เขา << ความยาว,Boynuz << Uzunluk,Horn << Längd,Horn << Dĺžka
Character/HornMiddle_Length,Horn >< Length,Horn >< Length,角 >< 长度,角 >< 長度,Horn >< Länge,Cuerno >< Longitud,Corne >< Longueur,Kürt >< Hossz,角 中央 長さ,뿔 >< 길이,Рог >< Длина,Chifre >< Tamanho,Ріг >< Довж,Corno >< Lunghezza,เขา >< ความยาว,Boynuz >< Uzunluk,Horn >< Längd,Klaksón >< Dĺžka
Character/Horn_Position,Horn Position,Horn Position,角 位置,角 位置,Horn Position,Posición de la bocina,Cornes Position,Kürt pozíció,角 位置,뿔 위치,Рог - Положение,Posição do Chifre,Положення рога,Posizione del corno,ตำแหน่งเขา,Korna Konumu,Hornposition,Poloha rohu
Character/Headwing_Position,Ear Wing Position,Ear Wing Position,翅膀耳朵 位置,翅膀耳朵 位置,Ohrflügel Position,Posición del ala de la oreja,Ailes d'Oreilles Position,Fülszárny helyzete,耳羽 位置,날개 귀 위치,Крыло-ухо - Положение,Posição das Asas de Orelha,Положення крила вуха,Posizione dell'ala dell'orecchio,ตำแหน่งหูปีก,Kulak Kanadı Konumu,Öronvingeposition,Poloha krídel uší
Character/Wing_Size,Wing Size,Wing Size,翅膀 大小,翅膀 大小,Flügel Größe,Tamaño del ala,Ailes Taille,Szárny mérete,翼 サイズ,날개 크기,Крылья - Размер,Tamanho das Asas,Розмір крила,Dimensione dell'ala,ขนาดปีก,Kanatların Boyutu,Vingstorlek,Veľkosť krídla
Character/Wing_Position,Wing Position,Wing Position,翅膀 位置,翅膀 位置,Flügel Position,Posición del ala,Aile Position,Szárny pozíció,翼 位置,날개 위치,Крылья - Положение,Posição das Asas,Позиція крила,Posizione dell'ala,ตำแหน่งปีก,Kanatların Konumu,Vingposition,Poloha krídla
Character/Wing_Angle,Wing Angle,Wing Angle,翅膀 角度,翅膀 角度,Flügel Winkel,Ángulo del ala,Aile Angle,Szárnyszög,翼 角度,날개 각도,Крылья - Угол,Ângulo das Asas,Кут крила,Angolo dell'ala,มุมปีก,Kanatların Açısı,Vingevinkel,Uhol krídla
Character/Tail_Size,Tail Size,Tail Size,尾巴 大小,尾巴 大小,Schwanz Größe,Tamaño de la cola,Queue Taille,Farok mérete,しっぽ サイズ,꼬리 크기,Хвост - Размер,Tamanho da Cauda,Розмір хвоста,Dimensione della coda,ขนาดหาง,Kuyruk Boyutu,Svansstorlek,Veľkosť chvosta
Character/Tail_Flip,Tail Flip,Tail Flip,尾巴 翻转,尾巴 翻轉,Schwanz Spiegeln,Voltear la cola,Queue Retournée,Tail Flip,しっぽ 反転,꼬리 좌우반전,Хвост - Отразить,Lado da Cauda,Перевертання хвоста,Capovolgimento della coda,พลิกหาง,Kuyruk Dönüşü,Tail Flip,Prevrátenie chvosta
Character/Tail_Angle,Tail Angle,Tail Angle,尾巴 角度,尾巴 角度,Schwanz Winkel,Ángulo de cola,Queue Angle,Farokszög,しっぽ 角度,꼬리 각도,Хвост - Угол,Ângulo da Cauda,Кут хвоста,Angolo della coda,มุมหาง,Kuyruk Açısı,Svansvinkel,Uhol chvosta
Character/PigtailLeft_Position,Hair Pigtail >> Position,Hair Pigtail >> Position,头发 马尾 >> 位置,辮子 >> 位置,Haarzopf >> Position,Coleta de pelo >> Posición,Queue de cochon >> Position,Haj Pigtail >> Pozíció,ヘアピグテール >> ポジション,머리 피그테일 >> 위치,Косичка >> Позиция,Trança de cabelo >> Posição,Косичка для волосся >> Положення,Codino dei capelli >> Posizione,ผมเปีย >> ตำแหน่ง,Saç Örgüsü >> Konum,Hår Pigtail >> Position,Vlasový vrkoč >> Pozícia
Character/PigtailLeft_Length,Hair Pigtail >> Length,Hair Pigtail >> Length,头发 马尾 >> 长度,辮子 >> 長度,Haarzopf >> Länge,Coleta de pelo >> Longitud,Queue de cochon >> Longueur,Haj Pigtail >> Hossz,おさげ髪 >> 長さ,머리 피그테일 >> 길이,Косичка >> Длина,Trança de cabelo >> Comprimento,Косичка для волосся >> Довжина,Codino per capelli >> Lunghezza,ผมเปีย >> ความยาว,Saç Örgüsü >> Uzunluk,Hår Pigtail >> Längd,Vlasový vrkoč >> Dĺžka
Character/PigtailLeft_Angle,Hair Pigtail >> Angle,Hair Pigtail >> Angle,头发 马尾 >> 角度,辮子 >> 角度,Haarzopf >> Winkel,Coleta de pelo >> Ángulo,Queue de cochon >> Angle,Haj Pigtail >> Szög,ヘアピグテール >> アングル,헤어 피그테일 >> 각도,Косичка >> Угол,Trança de cabelo >> Ângulo,Косичка для волосся >> Кут,Codino di capelli >> Angolo,ผมเปีย >> มุม,Saç Örgüsü >> Açı,Hår Pigtail >> Vinkel,Vlasový vrkoč >> Uhol
Character/PigtailRight_Position,Hair Pigtail << Position,Hair Pigtail << Position,头发 马尾 << 位置,辮子 << 位置,Haarzopf << Position,Coleta de pelo << Posición,Queue de cochon << Position,Haj Pigtail << Pozíció,ヘアピグテール << 位置,머리 피그테일 << 위치,Косичка для волос << Позиция,Trança de cabelo << Posição,Косичка для волосся << Положення,Treccia di capelli << Posizione,ผมเปีย << ตำแหน่ง,Saç Örgüsü << Konumu,Hår Pigtail << Position,Vlasový chvost << Pozícia
Character/PigtailRight_Length,Hair Pigtail << Length,Hair Pigtail << Length,头发 马尾 << 长度,辮子 << 長度,Haarzopf << Länge,Coleta de pelo << Longitud,Queue de cochon << Longueur,Haj Pigtail << Hossz,おさげ髪 << 長さ,머리 피그테일 << 길이,Косичка для волос << Длина,Trança de cabelo << comprimento,Косичка для волосся << Довжина,Treccia di capelli << Lunghezza,ผมเปีย << ความยาว,Saç Örgüsü << Uzunluk,Hår Pigtail << Längd,Vlasový vrkoč << Dĺžka
Character/PigtailRight_Angle,Hair Pigtail << Angle,Hair Pigtail << Angle,头发 马尾 << 角度,辮子 << 角度,Haarzopf << Winkel,Coleta de pelo << Ángulo,Queue de cochon << Angle,Haj Pigtail << Szög,ヘアピグテール << アングル,머리 피그테일 << 각도,Косичка для волос << Угол,Trança de cabelo << Ângulo,Косичка для волосся << Кут,Codino di capelli << Angolo,ผมเปีย << มุม,Saç Örgüsü << Açı,Hår Pigtail << Vinkel,Vlasový vrkoč << Uhol
Character/Ponytail_Width,Hair Ponytail Width,Hair Ponytail Width,头发 单马尾 宽度,馬尾辮寬度,Haar-Pferdeschwanz-Breite,Ancho de la cola de caballo del cabello,Largeur de la queue de cheval,Haj lófarok szélessége,ポニーテールの髪の幅,머리 포니테일 너비,Ширина хвоста волос,Largura do rabo de cavalo do cabelo,Ширина хвоста,Larghezza della coda di cavallo dei capelli,ผมหางม้ากว้าง,Saç At Kuyruğu Genişliği,Hår hästsvans bredd,Šírka chvosta vlasov
Character/Ponytail_Length,Hair Ponytail Length,Hair Ponytail Length,头发 单马尾 长度,馬尾辮長度,Haarlänge: Pferdeschwanz,Longitud de la cola de caballo del pelo,Longueur de la queue de cheval,Haj lófarok hossza,ポニーテールの髪の長さ,머리 포니테일 길이,Длина хвоста волос,Comprimento do rabo de cavalo,Довжина волосся в кінський хвіст,Lunghezza della coda di cavallo dei capelli,ผมหางม้ายาว,Saç At Kuyruğu Uzunluğu,Hår hästsvans längd,Dĺžka vlasového chvosta
Character/Ponytail_Angle,Hair Ponytail Angle,Hair Ponytail Angle,头发 单马尾 角度,頭髮馬尾辮角​​度,Haar-Pferdeschwanz-Winkel,Ángulo de cola de caballo de pelo,Angle de queue de cheval,Haj lófarok szög,ヘアポニーテールの角度,헤어 포니테일 각도,Угол хвоста волос,Ângulo de rabo de cavalo de cabelo,Кут зачіски в хвіст,Angolo della coda di cavallo dei capelli,มุมผมหางม้า,Saç At Kuyruğu Açısı,Hår hästsvansvinkel,Uhol chvosta vlasov
Character/Alert_Size,Alert Size,Alert Size,通知图标大小,警報大小,Alarmgröße,Tamaño de alerta,Taille de l'alerte,Figyelmeztetés mérete,アラートのサイズ,경고 크기,Размер оповещения,Tamanho do alerta,Розмір сповіщення,Dimensione avviso,ขนาดการแจ้งเตือน,Uyarı Boyutu,Varningsstorlek,Veľkosť upozornenia
