AnimationName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
ANIM/Copium,Copium,Copium,自我安慰,自我催眠,Copium,Copium,Copium,Copium,コピウム（現実逃避）,행복회로,Копиум,Copium,Copium,Copio,ทำใจ,Copium,Copium,Copium
ANIM/Crowbar-1,Crowbar 1,Crowbar 1,撬棍 1,撬棍 1,Brecheisen 1,Palanca 1,Pied de Biche 1,Vargavas 1,バール 1,쇠지렛대 1,Лом 1,Pé de cabra 1,Лом 1,Piede di porco 1,ชะแลง 1,Levye 1,Kofot 1,Páčidlo 1
ANIM/Crowbar-2,Crowbar 2,Crowbar 2,撬棍 2,撬棍 2,Brecheisen 2,Palanca 2,Pied de Biche 2,Vargavas 2,バール 2,쇠지렛대 2,Лом 2,Pé de cabra 2,Лом 2,Piede di porco 2,ชะแลง 2,Levye 2,Kofot 2,Páčidlo 2
ANIM/Crowbar-3,Crowbar 3,Crowbar 3,撬棍 3,撬棍 3,Brecheisen 3,Palanca 3,Pied de Biche 3,Vargavas 3,バール 3,쇠지렛대 3,Лом 3,Pé de cabra 3,Лом 3,Piede di porco 3,ชะแลง 3,Levye 3,Kofot 3,Páčidlo 3
ANIM/Cry-1,Cry 1,Cry 1,哭 1,哭 1,Weinen 1,Llorar 1,Pleurer 1,Sírás 1,泣き顔 1,울음 1,Плач 1,Choro 1,Плакати 1,Piangere 1,ร้องไห้ 1,Ağla 1,Gråt 1,Plač 1
ANIM/Cry-2,Cry 2,Cry 2,哭 2,哭 2,Weinen 2,llorar 2,Pleurer 2,Sírás 2,泣き顔 2,울음 2,Плач 2,Choro 2,Плакати 2,Piangere 2,ร้องไห้ 2,Ağla 2,Gråt 2,Plač 2
ANIM/Cry-3,Cry 3,Cry 3,哭 3,哭 3,Weinen 3,Llorar 3,Pleurer 3,Sírás 3,泣き顔 3,울음 3,Плач 3,Choro 3,Плакати 3,Piangere 3,ร้องไห้ 3,Ağla 3,Gråt 3,Plač 3
ANIM/Dead,Dead,Dead,死亡,死亡,Tot,Muerto,Mort,Halott,ダウン,기절,Умер,Morto,Мертвий,Morto,วิญญาณหลุด,Öldüm,Död,Mŕtvy
ANIM/Dizzy,Dizzy,Dizzy,头晕,頭暈,Schwindlig,Mareado,Étourdi,Szédül,目まわし,어지러움,Вскружило голову,Tontura,запаморочення,Dare le vertigini,ตาลาย,Başım Dönüyo,Yr,Závrate
ANIM/Drink-BeverageCup,Drink (Beverage Cup),Drink (Beverage Cup),喝(饮料杯),喝(飲料杯),Getränk (Becher),Bebiendo (Vaso de bebida),Boisson (Gobelet),Ital (italos csésze),ドリンク（カップ）,음료 마시기(음료컵),Пить (Стаканчик с напитком),Beber (Copo),Напій (чашка для напоїв),Bevanda (tazza per bevande),เครื่องดื่ม (แก้วเครื่องดื่ม),İç (Pipetle),Dryck (Beverage Cup),Nápoj (nápojový pohár)
ANIM/Drive,Drive,Drive,驾驶,駕駛,Fahren,Conduciendo,Conduire,Hajtás,ドライブ,운전하기,Водить машину,Dirigir,Драйв,Guidare,ขับรถ,Sür,Köra,Drive
ANIM/Drooling-Chopstick,Drooling (Chopstick),Drooling (Chopstick),馋(筷子),嘴饞(筷子),Sabbern (Essstäbchen),Babeando (palillo),Baver (Baguettes),Nyálcsorgatás (evőpálcika),よだれ（箸）,침흘림(젓가락),Слюни (Палочки для еды),Babando (Hashi),Слинотеча (Chopstick),Sbavare (bacchette),น้ำลายไหล (ตะเกียบ),Ağzım Sulandı (Chopstick),Dregling (ätpinne),Slintanie (palička)
ANIM/Drooling-ForkKnife,Drooling (Fork&Knife),Drooling (Fork&Knife),馋(刀叉),嘴饞(刀叉),Sabbern (Gabel&Messer),Babeando (tenedor y cuchillo),Bave (Fourchette & Couteau),Nyálcsorgatás (villa és kés),よだれ（フォーク＆ナイフ）,침흘림(포크&나이프),Слюни (Вилка и нож),Babando (Garfo & Faca),Слини (виделка та ніж),Sbavando (forchetta e coltello),น้ำลายไหล (ส้อมและมีด),Ağzım Sulandı (Çatal ve Bıçak),Dregling (gaffel och kniv),Slintanie (vidlička a nôž)
ANIM/Dum-1,Dum 1,Dum 1,呆 1,呆 1,Dum 1,Tonto 1,Teuteu 1,Dum 1,ほげ 1,바보 1,Глупик 1,Bobo 1,Думка 1,Dimmi 1,หน้าโง่ 1,Enayi 1,Dum 1,Dum 1
ANIM/Dum-2,Dum 2,Dum 2,呆 2,呆 2,Dum 2,Tonto 2,Teuteu 2,Dum 2,ほげ 2,바보 2,Глупик 2,Bobo 2,Думка 2,Dimmi 2,หน้าโง่ 2,Enayi 2,Dum 2,Dum 2
ANIM/Dum-3,Dum 3,Dum 3,呆 3,呆 3,Dum 3,Tonto 3,Teuteu 3,Dum 3,ほげ 3,바보 3,Глупик 3,Bobo 3,Думка 3,Dimmi 3,หน้าโง่ 3,Enayi 3,Dum 3,Dum 3
ANIM/Dum-Sticker-1,Dum Sticker 1,Dum Sticker 1,呆(贴纸) 1,呆(貼紙) 1,Dum-Aufkleber 1,"Post-it ""Dumb"" 1",Post-it Teuteu 1,Dum matrica 1,ほげ ふせん 1,바보 스티커 1,Глупик со стикером 1,Bobo Adesivo 1,Наклейка Dum 1,Adesivo stupido 1,หน้าโง่ 1 (Sticky Note),Enayi Stickeri 1,Dum Sticker 1,Nálepka 1
ANIM/Dum-Sticker-2,Dum Sticker 2,Dum Sticker 2,呆(贴纸) 2,呆(貼紙) 2,Dum-Aufkleber 2,"Post-it ""Dumb"" 2",Post-it Teuteu 2,Dum matrica 2,ほげ ふせん 2,바보 스티커 2,Глупик со стикером 2,Bobo Adesivo 2,Dum Sticker 2,Adesivo stupido 2,หน้าโง่ 2 (Sticky Note),Enayi Stickeri 2,Dum Sticker 2,Nálepka Dum 2
ANIM/Dum-Sticker-3,Dum Sticker 3,Dum Sticker 3,呆(贴纸) 3,呆(貼紙) 3,Dum-Aufkleber 3,"Post-it ""Dumb""3",Post-it Teuteu 3,Dum matrica 3,ほげ ふせん 3,바보 스티커 3,Глупик со стикером 3,Bobo Adesivo 3,Наклейка Dum 3,Adesivo stupido 3,หน้าโง่ 3 (Sticky Note),Enayi Stickeri 3,Dum Sticker 3,Nálepka Dum 3
ANIM/Exclamation,Exclamation,Exclamation,叹号,驚嘆號,Ausrufezeichen,Exclamación,Exclamation,Felkiáltás,びっくり,깜짝,"Удивление ""!!""",Exclamação,Вигук,Esclamazione,อุทาน,Aman,Utrop,Výkričník
ANIM/Jail-1,Jail 1,Jail 1,坐牢 1,坐牢 1,Gefängnis 1,Cárcel 1,Prison 1,Börtön 1,牢屋 1,감옥 1,Тюрьма 1,Prisão 1,В'язниця 1,Prigione 1,คุก 1,Hapis 1,Fängelse 1,Väzenie 1
ANIM/Jail-2,Jail 2,Jail 2,坐牢 2,坐牢 2,Gefängnis 2,Cárcel 2,Prison 2,Börtön 2,牢屋 2,감옥 2,Тюрьма 2,Prisão 2,В'язниця 2,Prigione 2,คุก 2,Hapis 2,Fängelse 2,Väzenie 2
ANIM/Knife-1,Knife 1,Knife 1,刀 1,刀 1,Messer 1,Cuchillo 1,Couteau 1,Kés 1,ナイフ 1,칼 1,Нож 1,Faca 1,Ніж 1,Coltello 1,มีด 1,Bıçak 1,Kniv 1,Nôž 1
ANIM/Knife-2,Knife 2,Knife 2,刀 2,刀 2,Messer 2,Cuchillo 2,Couteau 2,Kés 2,ナイフ 2,칼 2,Нож 2,Faca 2,Ніж 2,Coltello 2,มีด 2,Bıçak 2,Kniv 2,Nôž 2
ANIM/Laugh,Laugh,Laugh,笑,笑,Lachen,Riendo,Rire,Nevetés,笑い顔,웃음,Смех,Rir,сміятися,Ridere,หัวเราะ,Gül,Skratta,Smejte sa
ANIM/Lick,Lick,Lick,舔舔,舔舔,Lecken,Lamiendo,Lécher,Nyalás,ぺろり,핥기,Лизь языком,Lamber,лизати,Leccata,เลีย,Yala Yala,Slicka,Lízať
ANIM/Lightstick-1,Lightstick 1,Lightstick 1,荧光棒 1,螢光棒 1,Leuchtstab 1,Lightstick 1,Bâton lumineux 1,Lightstick 1,ペンライト 1,응원봉 1,Лайтстик 1,Bastão de Luz 1,Світлова паличка 1,Bastone luminoso 1,แท่งไฟ 1,Işıklı Çubuk 1,Ljussticka 1,Svietidlo 1
ANIM/Lightstick-2,Lightstick 2,Lightstick 2,荧光棒 2,螢光棒 2,Leuchtstab 2,Lightstick 2,Bâton lumineux 2,Lightstick 2,ペンライト 2,응원봉 2,Лайтстик 2,Bastão de Luz 2,Lightstick 2,Bastone luminoso 2,แท่งไฟ 2,Işıklı Çubuk 2,Ljussticka 2,Svietidlo 2
ANIM/Lurk-1,Lurk 1,Lurk 1,冒泡 1,冒泡 1,Lurken 1,Lurkeo 1,Lurk 1,Lappangás 1,ちらっ 1,빼꼼 1,Подглядывать 1,Espreitar 1,ховатися 1,In agguato 1,แอบ 1,Saklan 1,Lura 1,Číhať 1
ANIM/Lurk-2,Lurk 2,Lurk 2,冒泡 2,冒泡 2,Lurken 2,Lurkeo 2,Lurk 2,Lappangás 2,ちらっ 2,빼꼼 2,Подглядывать 2,Espreitar 2,ховатися 2,In agguato 2,แอบ 2,Saklan 2,Lurk 2,Číhať 2
ANIM/Luv-1,Luv 1,Luv 1,爱心 1,愛心 1,Liebe 1,Amor 1,Amour 1,Luv 1,ラブ 1,하트 1,Любовь 1,Amor 1,Любов 1,Amore 1,รัก 1,Sevgi 1,Luv 1,Luv 1
ANIM/Luv-2,Luv 2,Luv 2,爱心 2,愛心 2,Liebe 2,Amor 2,Amour 2,Luv 2,ラブ 2,하트 2,Любовь 2,Amor 2,Любов 2,Amore 2,รัก 2,Sevgi 2,Luv 2,Luv 2
ANIM/Luv-3,Luv 3,Luv 3,爱心 3,愛心 3,Liebe 3,Amor 3,Amour 3,Luv 3,ラブ 3,하트 3,Любовь 3,Amor 3,Любов 3,Amore 3,รัก 3,Sevgi 3,Luv 3,Luv 3
ANIM/Money,Money,Money,钱,錢,Geld,Dinero,Argent,Pénz,お金,돈,Деньги,Dinheiro,гроші,Soldi,เงิน,Paracıklar,Pengar,Peniaze
ANIM/Mute-1,Mute 1,Mute 1,静音 1,靜音 1,Stumm 1,Muteado 1,Muet 1,Némítás 1,ミュート 1,음소거 1,Беззвучный 1,Mudo 1,Вимкнути звук 1,Muto 1,Mute 1,Susturulu 1,Ljud av 1,Stlmiť 1
ANIM/Mute-2,Mute 2,Mute 2,静音 2,靜音 2,Stumm 2,Muteado 2,Muet 2,Némítás 2,ミュート 2,음소거 2,Беззвучный 2,Mudo 2,Вимкнути звук 2,Muto 2,Mute 2,Susturulu 2,Tyst 2,Stlmiť 2
ANIM/Nervous-1,Nervous 1,Nervous 1,紧张 1,緊張 1,Nervös 1,Nervioso 1,Nerveux 1,Ideges 1,ドキドキ 1,식은땀 1,Нервный 1,Nervoso 1,Нервовий 1,Nervoso 1,กังวล 1,Endişeli 1,Nervös 1,Nervózny 1
ANIM/Nervous-2,Nervous 2,Nervous 2,紧张 2,緊張 2,Nervös 2,Nervioso 2,Nerveux 2,Ideges 2,ドキドキ 2,식은땀 2,Нервный 2,Nervoso 2,Нервовий 2,Nervoso 2,กังวล 2,Endişeli 2,Nervös 2,Nervózny 2
ANIM/Noted-1,Noted 1,Noted 1,记录 1,記錄 1,Notiz 1,Anotando 1,Noter 1,Megjegyezte 1,了解 1,메모 1,Записано 1,Anotando 1,Відзначено 1,Notato 1,จดโน๊ต 1,Not Alma 1,Noterade 1,Zaznamenané 1
ANIM/Noted-2,Noted 2,Noted 2,记录 2,記錄 2,Notiz 2,Anotando 2,Noter 2,Megjegyezte 2,了解 2,메모 2,Записано 2,Anotando 2,Примічено 2,Notato 2,จดโน๊ต 2,Not Alma 2,Noterade 2,Zaznamenané 2
ANIM/Pat,Pat,Pat,摸头,摸頭,Streicheln,Palmadita,Pat,Pat,なでなで,쓰다듬기,Гладь по голове,Carinho,Пат,Pat,ลูบหัว,Kafa Okşa,Klappa,Pat
ANIM/Point,Point,Point,指,指,Zeigen,Apuntar,Indiquer,Pont,指さし,가리키기,Обвинение,Apontar,точка,Punto,ชี้,İşaret et,Punkt,Bod
ANIM/Question,Question,Question,问号,問號,Frage,Pregunta,Question,Kérdés,はてな,갸우뚱,Возник вопрос,Pergunta,Питання,Domanda,ถาม,Ney,Fråga,Otázka
ANIM/Raid-1,Raid 1,Raid 1,Raid 1,Raid 1,Raid 1,Raid 1,Raid 1,Raid 1,レイド 1,레이드 1,Рейд 1,Raid 1,Рейд 1,Incursione 1,Raid 1,Baskın 1,Raid 1,Nájazd 1
ANIM/Raid-2,Raid 2,Raid 2,Raid 2,Raid 2,Raid 2,Raid 2,Raid 2,Raid 2,レイド 2,레이드 2,Рейд 2,Raid 2,Рейд 2,Incursione 2,Raid 2,Baskın 2,Raid 2,Nájazd 2
ANIM/Redpacket-1,RedPacket 1,RedPacket 1,红包 1,紅包 1,Glücksumschlag 1,Sobre rojo 1,Enveloppe Rouge 1,RedPacket 1,お年玉 1,용돈 봉투 1,Конверт 1,Pacote Vermelho 1,RedPacket 1,Pacchetto Rosso 1,อั่งเปา 1,Kırmızı Paket 1,RedPacket 1,RedPacket 1
ANIM/RedPacket-2,RedPacket 2,RedPacket 2,红包 2,紅包 2,Glücksumschlag 2,Sobre rojo 2,Enveloppe Rouge 2,RedPacket 2,お年玉 2,용돈 봉투 2,Конверт 2,Pacote Vermelho 2,RedPacket 2,Pacchetto Rosso 2,อั่งเปา 2,Kırmızı Paket 2,RedPacket 2,RedPacket 2
ANIM/Rose,Rose,Rose,玫瑰,玫瑰,Rose,Rosa,Rose,Rózsa,バラ,장미,Роза,Rosa,Роза,Rosa,ดอกกุหลาบ,Gül,Ros,Rose
ANIM/Score-0Point,Score (0 Point),Score (0 Point),得分(0分),得分(0分),Punkte (0),Puntuación (0 puntos),Score (0 point),Pontszám (0 pont),採点（0 点）,점수(0점),Оценка (0 очков),Pontuação (0 pontos),Оцінка (0 балів),Punteggio (0 punti),คะแนน (0 คะแนน),Puanım (0),Poäng (0 poäng),Skóre (0 bodov)
ANIM/Score-10Point,Score (10 Point),Score (10 Point),得分(10分),得分(10分),Punkte (10),Puntuación (10 puntos),Score (10 points),Pontszám (10 pont),採点（10 点）,점수(10점),Оценка (10 баллов),Pontuação (10 pontos),Оцінка (10 балів),Punteggio (10 punti),คะแนน (10 คะแนน),Puanım (10),Poäng (10 poäng),Skóre (10 bodov)
ANIM/Shy-1,Shy 1,Shy 1,害羞 1,害羞 1,Schüchtern 1,Tímido 1,Timide 1,Félénk 1,照れ顔 1,부끄러움 1,Смущение 1,Tímido 1,Сором'язливий 1,Timido 1,ขี้อาย 1,Utangaç 1,Blyg 1,Hanblivý 1
ANIM/Shy-2,Shy 2,Shy 2,害羞 2,害羞 2,Schüchtern 2,Tímido 2,Timide 2,Félénk 2,照れ顔 2,부끄러움 2,Смущение 2,Tímido 2,Сором'язливий 2,Timido 2,ขี้อาย 2,Utangaç 2,Blyg 2,Hanblivý 2
ANIM/Sleep-Normal,Sleep (Normal),Sleep (Normal),睡觉(普通),睡覺(普通),Schlaf (Normal),Dormir (Normal),Dodo (Normal),Alvás (normál),睡眠（通常）,수면(일반),Сон (нормальный),Dormindo (Normal),сон (нормальний),Sonno (normale),นอนหลับ (ปกติ),Uyu (Normal),Sömn (normal),Spánok (normálny)
ANIM/Sleep-Preparing-Stage1,Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),睡觉(准备阶段1),睡覺(準備階段1),Schlaf (Vorbereitung 1),Dormir (Preparación 1),Dodo (Scroll 1),Alvás (1. előkészítési szakasz),睡眠（準備 1）,수면(준비 1단계),Сон (подготовка ко сну 1),Dormindo (Preparação 1),Сон (підготовчий етап 1),Sonno (Preparazione alla Fase 1),นอนหลับ (เตรียมตัวนอน 1),Uyku (Hazırlanma Aşaması 1),Sömn (förbereder steg 1),Spánok (1. fáza prípravy)
ANIM/Sleep-Preparing-Stage2,Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),睡觉(准备阶段2),睡覺(準備階段2),Schlaf (Vorbereitung 2),Dormir (Preparación 2),Dodo (Scroll 2),Alvás (2. előkészítési szakasz),睡眠（準備 2）,수면(준비 2단계,Сон (подготовка ко сну 2),Dormindo (Preparação 2),Сон (підготовчий етап 2),Sonno (Preparazione alla Fase 2),นอนหลับ (เตรียมตัวนอน 2),Uyku (Hazırlanma Aşaması 2),Sömn (förbereder steg 2),Spánok (2. fáza prípravy)
ANIM/Sleep-UU,Sleep (UU),Sleep (UU),睡觉 (UU),睡覺 (UU),Schlaf (UU),Dormir (UU),Dodo (UU),Alvás (UU),睡眠（すやすや）,수면(UU),Сон (UwU),Dormindo (UU),Сон (UU),Sonno (UU),นอนหลับ (UU),Uyu (UU),Sömn (UU),Spánok (UU)
ANIM/Surprise,Surprise,Surprise,惊吓,驚嚇,Überraschung,Sorpresa,Surpris,Meglepetés,びっくり顔,놀람,Сюрприз,Surpresa,Сюрприз,Sorpresa,เซอร์ไพรส์,Sürpriz,Överraskning,Prekvapenie
ANIM/Sweat,Sweat,Sweat,汗,汗,Schweiß,Sudor,Transpirer,Izzad,冷や汗,땀,Потливость,Suando,піт,Sudore,เหงือตก,Yorulma,Svettas,Vypotiť sa
ANIM/ThumbDown,Thumb Down,Thumb Down,反向点赞,倒讚,Daumen runter,Pulgar hacia abajo,Pouce vers le Bas,Lefelé hüvelykujj,よくないね,싫어요,Большой палец вниз,Polegar para Baixo,Великий палець вниз,Pollice giù,ไม่ชอบ,Beğenmedim,Tummen ner,Palec dole
ANIM/ThumbUp,Thumb Up,Thumb Up,点赞,點讚,Daumen hoch,Pulgar hacia arriba,Pouce vers le Haut,Menj fel,いいね,좋아요,Большой палец вверх,Polegar para Cima,Великий палець вгору,Pollice in su,ชอบ,Beğendim,Tummen Upp,Palec hore
ANIM/Type-Angry,Type Angry,Type Angry,打字(生气),打字(生氣),Tippen Wütend,Escribiendo enojado,Taper en Colère,Írd be: Dühös,タイピング（怒り）,타이핑(화남),Злое печатание,Escrevendo Raiva,Тип Злий,Digita Arrabbiato,พิมพ์ (โกรธ),Yaz Sinirli,Typ Arg,Napíšte Angry
ANIM/Type-Annoyed,Type Annoyed,Type Annoyed,打字(恼怒),打字(惱怒),Tippen Genervt,Escribiendo molesto,Taper Saoulé,Típus Bosszús,タイピング（イライラ）,타이핑(짜증),Раздраженное печатание,Escrevendo Ódio,Тип Роздратований,Digita Infastidito,พิมพ์ (รำคาญ),Yaz Siniri bozuk,Typ irriterad,Napíšte Nahnevaný
ANIM/Type-Normal,Type Normal,Type Normal,打字(普通),打字(普通),Tippen Normal,Escribiendo normal,Taper Normal,Normál típus,タイピング（通常）,타이핑(일반),Печатание нормальное,Escrevendo Normal,Тип Нормальний,Digitare Normale,พิมพ์ (ปกติ),Yaz Normal,Skriv Normal,Typ Normal
ANIM/Work-Angry,Work Angry,Work Angry,工作(生气),工作(生氣),Arbeit Wütend,Trabajando enojado,Travailler en Colère,Work Angry,作業（怒り）,업무(화남),Злой на работе,Trabalhando Ódio,Робота Злий,Lavora arrabbiato,ทำงาน (โกรธ),Çalış Sinirli,Arbeta Arg,Pracuj nahnevaný
ANIM/Work-Nap,Work Nap,Work Nap,工作(小睡),工作(小睡),Arbeit Nickerchen,Dormido trabajando,Siester au travail,Munkaszünet,作業（居眠り）,업무(졸음),Уснул на работе,Trabalhando Sono,Робочий сон,Pisolino di lavoro,ทำงาน (หลับ),Çalış Uyu,Arbetstupplur,Pracovný spánok
ANIM/Work-Normal,Work Normal,Work Normal,工作(普通),工作(普通),Arbeit Normal,Trabajando Normal,Travailler classique,Normál munkavégzés,作業（通常）,업무(일반),Работает обычно,Trabalhando Normal,Нормальна робота,Lavoro normale,ทำงาน (ปกติ),Çalış Normal,Arbeta normalt,Pracujte normálne
ANIM/Work-Tired,Work Tired,Work Tired,工作(疲倦),工作(疲倦),Arbeit Müde,Trabajando cansado,Travailler Fatigué ,Munka fáradt,作業（疲れ）,업무(피곤),Усталость от работы,Trabalhando Cansado,Робота втомлена,Lavoro stanco,ทำงาน (เหนื่อย),Çalış Yorgun,Arbete Trött,Pracovať unavený
ANIM/Bell,Bell,Bell,摇铃,搖鈴,Glocke,Campana,Cloche,Harang,ベル,종 울리기,Колокольчик,Sino,дзвоник,Campana,กระดิ่งมีด้าม,Çan,Klocka,Bell
ANIM/Cake,Cake,Cake,蛋糕,蛋糕,Kuchen,Pastel,Gâteau,Torta,ケーキ,케이크,Торт,Bolo,Торт,Torta,เค้ก,Kek,Tårta,Koláč
ANIM/Caught-Phone,Caught in 4K (Phone),Caught in 4K (Phone),抓拍(手机),拍照(手機),Foto schießen (Telefon),Captado en 4K (teléfono),Pris en 4K (Téléphone),4K-ban rögzítve (telefon),撮影 (スマホ),증거 포착(핸드폰),Снимает в 4K (телефон),Pego em 4K (Telefone),Знято в 4K (телефон),Catturato in 4K (telefono),เก็บหลักฐาน (มือถือ),Hop ss aldım (Telefon),Fångad i 4K (telefon),Zachytené v rozlíšení 4K (telefón)
ANIM/Caught-VideoCamera,Caught in 4K (Video Camera),Caught in 4K (Video Camera),抓拍(摄像机),拍照(攝影機),Video drehen (Videokamera),Captado en 4K (cámara de vídeo),Pris en 4K (Caméra),4K-ban rögzítve (videokamera),撮影 (ビデオカメラ),증거 포착(비디오 카메라),Снимает в 4K (видеокамера),Pego em 4K (Câmera de Vídeo),Знято в 4K (відеокамера),Catturato in 4K (videocamera),เก็บหลักฐาน (กล้องวิดีโอ),Hop ss aldım (Video Kamera),Fångad i 4K (videokamera),Zachytené v rozlíšení 4K (videokamera)
ANIM/Celebration,Celebration,Celebration,庆祝,慶祝,Feier,Celebración,Célébration,Ünneplés,お祝い,축하,Празднование,Celebração,святкування,Celebrazione,เฉลิมฉลอง,Kutlama,Firande,Oslava
ANIM/Head-Nod,Head Nod,Head Nod,点头,點頭,Kopfnicken,Asentir con la cabeza,Hochement de tête,Fej bólint,うなずく,고개 끄덕임,Кивок головой,Aceno a Cabeça,Кивок головою,Testa annuita,พยักหน้า,Kafa Salla (Olumlu),Huvudnicka,Prikývnutie hlavy
ANIM/Head-Shake,Head Shake,Head Shake,摇头,搖頭,Kopfschütteln,Sacudir la cabeza,Secouer la tête,Fej rázza,首を振る,고개 젓기,Покачивание головой,Sacudir a Cabeça,Похитування головою,Scuotere la testa,ส่ายหัว,Kafa salla (Olumsuz),Skaka huvud,Potriasť hlavou
ANIM/Hypnosis,Hypnosis,Hypnosis,催眠,催眠,Hypnose,Hipnosis,Hypnose,Hipnózis,催眠（スマホ）,최면,Гипноз,Hipnose,Гіпноз,Ipnosi,สะกดจิต,Hipnoz,Hypnos,Hypnóza
ANIM/Laugh-Point,Laugh (Point),Laugh (Point),笑(指),笑(指),Lachen (Zeigen),Reír (punto),Rire (Pointer),Nevetés (pont),笑い（指差し）,비웃음(포인트),Смех (Обвинение),Rir (Apontando),Сміятися (точка),Ridere (punto),หัวเราะ (ชี้),Gül (İşaret ederek),Skratta (peka),smiech (bod)
ANIM/LoveLetter,Love Letter,Love Letter,情书,情書,Liebesbrief,carta de amor,Lettre d'Amour,Szerelmeslevél,ラブレター,러브레터,Любовное письмо,Carta de Amor,Любовний лист,Lettera d'amore,จดหมายรัก,İlan-ı Aşk Mektubu,Kärleksbrev,Milostný list
ANIM/NeedFood,Need Food,Need Food,要米,求餵食,Brauche Essen,Necesito comida,Demander de la Nourriture,Élelmiszer kell,ごはんほしい,배고픔,Нуждаюсь в еде,Precisa de Comida,Потрібна їжа,Bisogno di cibo,ขออาหาร,Yemek Lazım,Behöver mat,Potrebujete jedlo
ANIM/PNGTuber-Idle,PNGTuber Idle,PNGTuber Idle,PNGTuber 闲置,PNGTuber 閒置,PNGTuber Idle,PNGTuber inactivo,PNGTuber Inactif,PNGTuber Idle,PNGTuber 待機,2D 버튜버 (대기),PNG-tuber в покое,PNGTuber Inativo ,PNGTuber не працює,PNGTuber Inattivo,PNGTuber Idle,PNGTuber Sabit,PNGtuber tomgång,PNGTuber nečinný
